,country,market_segment,previous_cancellations,booking_changes,deposit_type,days_in_waiting_list,customer_type,reserved_room_type,required_car_parking_spaces,total_of_special_requests,is_canceled
2216,Non Portugal,Online TA,0,1,No Deposit,0,Transient,A,0,2,0
2217,Portugal,Online TA,0,0,No Deposit,0,Transient-Party,C,0,0,0
2221,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
2230,Non Portugal,Direct,0,2,No Deposit,0,Transient,A,0,0,0
2234,Non Portugal,Corporate,0,0,No Deposit,0,Transient-Party,A,0,0,0
2235,Non Portugal,Direct,0,0,No Deposit,0,Transient,F,1,0,0
2237,Non Portugal,Offline TA/TO,0,1,No Deposit,0,Group,A,0,0,0
2239,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
2241,Portugal,Offline TA/TO,0,0,No Deposit,0,Contract,D,0,1,0
2242,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,2,0
2247,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,2,0
2249,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,E,0,1,0
2256,Portugal,Online TA,0,0,No Deposit,0,Transient,E,0,0,0
2259,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,1,0
2264,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,0,0
2266,Non Portugal,Online TA,0,0,No Deposit,0,Transient,F,0,2,1
2269,Non Portugal,Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,0,0
2270,Portugal,Direct,1,0,No Deposit,0,Transient,E,0,2,0
2273,Non Portugal,Groups,0,1,No Deposit,0,Transient-Party,A,0,0,0
2274,Portugal,Direct,0,0,No Deposit,0,Transient,E,0,3,0
2275,Portugal,Online TA,1,0,No Deposit,0,Transient,D,0,3,1
2277,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,A,0,1,0
2279,Non Portugal,Groups,0,0,No Deposit,0,Transient-Party,A,0,0,0
2280,Non Portugal,Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,0,0
2284,Non Portugal,Direct,0,0,No Deposit,0,Transient,E,1,1,0
2285,Portugal,Groups,1,0,No Deposit,0,Transient,A,0,0,1
2286,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,1,1
2287,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,D,0,1,0
2291,Portugal,Online TA,0,0,No Deposit,0,Transient-Party,E,0,0,0
2296,Non Portugal,Online TA,0,0,No Deposit,0,Contract,A,0,2,0
2299,Portugal,Offline TA/TO,0,2,No Deposit,0,Transient,A,0,0,0
2301,Portugal,Corporate,0,0,Non Refund,59,Transient,A,0,0,1
2302,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
2303,Non Portugal,Aviation,0,0,No Deposit,0,Transient,D,0,2,0
2306,Non Portugal,Direct,1,1,No Deposit,0,Transient-Party,B,0,1,1
2308,Non Portugal,Online TA,0,0,No Deposit,0,Transient,F,1,2,0
2310,Non Portugal,Online TA,0,2,No Deposit,0,Transient,C,0,0,1
2311,Non Portugal,Online TA,0,0,No Deposit,0,Transient,C,0,0,1
2321,Non Portugal,Online TA,0,1,No Deposit,0,Transient,A,0,2,0
2324,Non Portugal,Online TA,0,2,No Deposit,0,Transient,D,0,0,0
2327,Non Portugal,Direct,0,0,No Deposit,0,Transient-Party,A,0,0,0
2328,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,D,0,2,0
2330,Portugal,Online TA,0,5,No Deposit,0,Transient,A,1,2,0
2334,Non Portugal,Direct,0,1,No Deposit,0,Transient,D,0,2,0
2336,Non Portugal,Offline TA/TO,0,1,No Deposit,0,Transient,D,0,0,0
2342,Non Portugal,Direct,0,0,No Deposit,0,Transient-Party,A,1,0,0
2346,Non Portugal,Groups,0,1,No Deposit,0,Transient-Party,A,0,1,0
2348,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
2351,Portugal,Online TA,1,0,No Deposit,0,Transient,A,0,1,1
2352,Portugal,Groups,0,1,No Deposit,0,Transient-Party,A,0,1,0
2357,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
2360,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,0,3,0
2361,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
2364,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,3,1
2365,Portugal,Online TA,0,0,No Deposit,0,Transient,F,1,1,0
2366,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,1,1,0
2368,Non Portugal,Online TA,0,0,No Deposit,0,Transient,G,0,0,1
2369,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,E,0,0,0
2372,Non Portugal,Online TA,0,6,No Deposit,0,Transient,A,0,1,1
2374,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,0
2376,Non Portugal,Online TA,0,0,No Deposit,0,Transient,F,0,1,1
2380,Non Portugal,Online TA,0,0,No Deposit,0,Contract,A,0,2,0
2381,Portugal,Online TA,0,1,No Deposit,0,Transient,G,0,2,1
2384,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,D,0,2,0
2387,Portugal,Groups,0,0,Non Refund,0,Contract,A,0,0,1
2394,Non Portugal,Online TA,0,1,No Deposit,0,Group,B,0,2,0
2395,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
2398,Portugal,Online TA,1,1,No Deposit,0,Contract,D,0,1,1
2399,Non Portugal,Corporate,0,0,No Deposit,0,Transient-Party,D,0,0,0
2402,Portugal,Direct,0,0,No Deposit,0,Transient,E,1,0,0
2403,Non Portugal,Online TA,0,7,No Deposit,0,Transient,F,0,0,0
2404,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
2405,Non Portugal,Direct,0,3,No Deposit,0,Transient,A,0,2,0
2407,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,E,1,0,0
2409,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,A,0,2,0
2415,Non Portugal,Offline TA/TO,0,1,No Deposit,44,Transient-Party,A,0,0,0
2416,Portugal,Direct,0,0,No Deposit,0,Transient,H,0,0,0
2419,Non Portugal,Direct,0,0,No Deposit,0,Transient,F,0,2,0
2421,Non Portugal,Direct,0,0,No Deposit,0,Transient,A,0,0,0
2424,Non Portugal,Online TA,0,0,No Deposit,0,Transient,B,0,2,1
2426,Non Portugal,Online TA,0,2,No Deposit,0,Transient-Party,D,0,2,0
2427,Non Portugal,Direct,0,1,No Deposit,0,Transient,D,0,0,0
2430,Portugal,Direct,0,3,No Deposit,0,Transient,D,0,3,0
2431,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,D,0,0,0
2432,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,2,1
2438,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,3,1
2441,Non Portugal,Groups,0,0,No Deposit,0,Transient-Party,A,1,0,0
2447,Non Portugal,Online TA,0,0,No Deposit,0,Transient,G,0,0,1
2454,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
2455,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
2458,Non Portugal,Direct,0,0,No Deposit,0,Transient,D,0,1,0
2461,Non Portugal,Online TA,0,0,No Deposit,0,Transient,F,0,0,1
2463,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,B,0,1,0
2465,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,3,0
2468,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,2,0
2471,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,1,2,0
2472,Portugal,Offline TA/TO,0,0,Non Refund,24,Transient,A,0,0,1
2476,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,0
2477,Non Portugal,Direct,0,0,No Deposit,0,Transient-Party,E,0,1,0
2480,Portugal,Offline TA/TO,1,0,No Deposit,0,Group,A,0,0,0
2483,Non Portugal,Groups,0,0,No Deposit,0,Transient-Party,A,0,0,1
2486,Portugal,Online TA,0,2,No Deposit,0,Transient,E,0,5,0
2488,Non Portugal,Groups,0,0,No Deposit,0,Transient-Party,A,0,0,0
2490,Portugal,Corporate,0,1,No Deposit,0,Transient,D,1,1,0
2495,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,1,0
2497,Non Portugal,Groups,0,0,No Deposit,8,Transient-Party,A,0,0,0
2500,Non Portugal,Direct,0,3,No Deposit,0,Transient,E,0,1,0
2502,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
2506,Non Portugal,Direct,0,0,No Deposit,0,Transient,A,0,0,0
2509,Non Portugal,Direct,0,0,No Deposit,0,Transient,D,0,1,0
2510,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,D,0,0,1
2512,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,2,1
2517,Non Portugal,Direct,0,0,No Deposit,0,Transient-Party,D,0,0,0
2520,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,3,0
2521,Portugal,Online TA,0,1,No Deposit,0,Transient-Party,A,0,2,0
2522,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,1,0
2525,Non Portugal,Offline TA/TO,0,1,No Deposit,0,Transient-Party,D,0,1,0
2527,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
2534,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,1,0,0
2536,Non Portugal,Direct,0,1,No Deposit,0,Transient-Party,D,0,1,0
2540,Non Portugal,Online TA,0,2,No Deposit,0,Transient,D,0,0,0
2545,Non Portugal,Online TA,0,1,No Deposit,0,Transient,F,0,2,0
2549,Portugal,Online TA,0,2,No Deposit,0,Transient,D,0,1,0
2550,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,2,1
2555,Non Portugal,Direct,0,0,No Deposit,0,Transient,A,0,0,0
2556,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,1,0
2557,Non Portugal,Online TA,0,1,No Deposit,0,Transient,A,1,0,0
2559,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,2,0
2561,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
2572,Non Portugal,Online TA,0,1,No Deposit,0,Transient,E,1,2,0
2573,Non Portugal,Direct,0,0,No Deposit,0,Transient-Party,F,0,2,0
2574,Portugal,Groups,0,0,No Deposit,58,Transient-Party,A,0,0,0
2576,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,2,1
2580,Portugal,Direct,0,0,No Deposit,0,Transient-Party,A,0,1,0
2581,Non Portugal,Direct,0,0,No Deposit,0,Transient,C,0,0,1
2582,Portugal,Direct,0,2,No Deposit,0,Transient-Party,D,0,0,0
2585,Portugal,Complementary,0,0,No Deposit,0,Transient-Party,A,0,0,1
2593,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,G,1,2,0
2597,Non Portugal,Online TA,0,1,No Deposit,0,Transient,E,0,2,0
2600,Portugal,Groups,0,0,Non Refund,183,Transient,A,0,0,1
2603,Portugal,Offline TA/TO,13,0,No Deposit,31,Transient-Party,A,0,0,1
2604,Non Portugal,Online TA,0,1,No Deposit,0,Transient,E,0,2,1
2610,Portugal,Offline TA/TO,0,2,No Deposit,0,Transient,C,1,0,0
2611,Portugal,Groups,0,2,No Deposit,0,Transient-Party,A,0,0,0
2619,Non Portugal,Online TA,0,1,No Deposit,0,Transient,D,1,0,0
2620,Non Portugal,Online TA,0,6,No Deposit,0,Transient,A,1,1,0
2626,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,0,0
2638,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,2,1
2639,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,0,0,0
2640,Portugal,Offline TA/TO,0,0,No Deposit,187,Transient-Party,A,0,0,0
2643,Non Portugal,Direct,0,1,No Deposit,0,Transient,A,1,1,0
2644,Portugal,Direct,0,0,No Deposit,0,Transient,C,0,0,0
2649,Non Portugal,Groups,0,1,No Deposit,0,Transient-Party,A,0,0,0
2650,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
2659,Non Portugal,Direct,0,0,No Deposit,0,Group,A,0,1,0
2661,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
2662,Non Portugal,Online TA,0,0,No Deposit,0,Contract,D,0,1,0
2663,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,0,0
2673,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,D,0,2,0
2675,Portugal,Offline TA/TO,2,0,No Deposit,0,Transient,A,0,1,1
2678,Portugal,Direct,0,0,No Deposit,0,Transient,D,1,0,0
2679,Non Portugal,Online TA,0,0,No Deposit,0,Transient,F,1,0,0
2680,Non Portugal,Corporate,0,1,No Deposit,0,Transient-Party,A,0,1,0
2681,Portugal,Online TA,1,0,No Deposit,0,Contract,A,0,3,1
2687,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,0,0
2692,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,0,1,1
2693,Portugal,Online TA,1,0,No Deposit,0,Contract,A,0,1,1
2694,Non Portugal,Online TA,0,3,No Deposit,0,Transient,F,0,1,0
2695,Non Portugal,Direct,0,0,No Deposit,0,Transient,A,0,1,0
2696,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,1,1,0
2697,Non Portugal,Online TA,0,1,No Deposit,0,Group,A,0,1,0
2698,Portugal,Online TA,1,0,No Deposit,0,Transient,G,0,2,1
2702,Non Portugal,Online TA,0,1,No Deposit,0,Transient,A,0,1,0
2708,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,A,0,2,0
2709,Non Portugal,Online TA,0,1,No Deposit,0,Transient,A,0,1,0
2715,Portugal,Online TA,0,1,No Deposit,0,Transient-Party,A,0,0,0
2716,Non Portugal,Groups,0,0,No Deposit,0,Transient,A,0,0,1
2717,Portugal,Direct,0,0,No Deposit,0,Transient,A,0,3,0
2718,Non Portugal,Corporate,0,0,No Deposit,0,Transient,E,0,1,0
2719,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
2721,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,3,0
2723,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
2730,Non Portugal,Online TA,0,0,No Deposit,0,Transient,B,0,2,0
2731,Portugal,Online TA,0,1,No Deposit,0,Transient,D,0,0,0
2733,Non Portugal,Online TA,0,0,No Deposit,0,Contract,A,0,0,0
2738,Non Portugal,Direct,0,1,No Deposit,0,Transient,A,0,0,0
2739,Non Portugal,Aviation,0,0,No Deposit,0,Transient,D,0,0,0
2740,Non Portugal,Online TA,0,4,No Deposit,0,Transient,D,0,0,1
2743,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,3,0
2748,Non Portugal,Direct,0,1,No Deposit,0,Transient,F,1,0,0
2750,Non Portugal,Direct,0,0,No Deposit,0,Transient,C,1,0,0
2751,Portugal,Groups,0,1,Non Refund,0,Transient,A,0,0,1
2752,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,1,1
2754,Portugal,Offline TA/TO,0,0,No Deposit,0,Contract,E,0,0,1
2767,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
2773,Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,E,0,0,0
2774,Portugal,Direct,0,1,No Deposit,0,Transient,D,0,0,0
2775,Non Portugal,Online TA,0,1,No Deposit,0,Contract,D,0,1,0
2779,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
2780,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,1,1,0
2781,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,F,0,0,0
2784,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,1,0,0
2785,Non Portugal,Direct,0,0,No Deposit,0,Transient,D,0,3,0
2787,Non Portugal,Online TA,0,1,No Deposit,0,Transient-Party,D,0,1,1
2794,Non Portugal,Online TA,0,1,No Deposit,0,Transient,E,0,2,0
2796,Portugal,Offline TA/TO,0,0,Non Refund,21,Transient,A,0,0,1
2798,Portugal,Offline TA/TO,0,0,Non Refund,111,Transient,A,0,0,1
2803,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,0,3,0
2806,Portugal,Online TA,0,4,No Deposit,0,Transient-Party,D,0,1,0
2812,Non Portugal,Direct,0,1,No Deposit,0,Transient,A,0,1,0
2814,Portugal,Offline TA/TO,0,0,No Deposit,56,Transient-Party,A,0,0,0
2819,Non Portugal,Online TA,0,1,No Deposit,0,Transient,D,0,2,1
2821,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Contract,D,0,3,0
2823,Portugal,Online TA,0,0,No Deposit,0,Transient,F,0,2,0
2825,Portugal,Direct,0,2,No Deposit,0,Transient,B,0,0,0
2831,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,5,0
2832,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,0,0,0
2833,Non Portugal,Direct,0,0,No Deposit,0,Transient,E,0,0,0
2836,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient-Party,A,0,1,0
2837,Portugal,Groups,0,0,No Deposit,176,Transient-Party,A,0,0,1
2841,Non Portugal,Direct,0,0,No Deposit,0,Transient,D,0,0,0
2848,Portugal,Offline TA/TO,0,0,No Deposit,0,Contract,A,0,0,0
2849,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
2851,Non Portugal,Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,0,0,0
2852,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,1,1,0
2862,Portugal,Online TA,0,0,No Deposit,0,Group,B,0,2,0
2863,Non Portugal,Groups,0,0,No Deposit,0,Transient-Party,D,0,0,0
2864,Non Portugal,Direct,0,1,No Deposit,0,Transient,A,0,2,0
2865,Non Portugal,Online TA,0,0,No Deposit,0,Transient,G,0,2,0
2868,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,1,0
2871,Non Portugal,Offline TA/TO,0,1,No Deposit,77,Transient-Party,A,0,0,0
2881,Non Portugal,Online TA,0,2,No Deposit,0,Transient,F,1,0,0
2885,Non Portugal,Online TA,0,0,No Deposit,0,Contract,A,0,2,0
2886,Non Portugal,Aviation,0,0,No Deposit,0,Transient,A,0,0,0
2888,Portugal,Direct,0,1,No Deposit,0,Transient,A,0,0,1
2890,Non Portugal,Direct,0,2,No Deposit,0,Transient,A,0,0,0
2903,Non Portugal,Online TA,0,1,No Deposit,0,Transient,A,0,4,0
2908,Non Portugal,Online TA,0,2,No Deposit,0,Transient,G,0,2,1
2909,Non Portugal,Direct,0,2,No Deposit,0,Transient,A,0,1,0
2910,Non Portugal,Direct,0,0,No Deposit,0,Transient,A,0,0,0
2911,Non Portugal,Direct,0,0,No Deposit,0,Transient,F,0,0,1
2915,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,1,0
2918,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,1,0
2919,Non Portugal,Direct,0,1,No Deposit,0,Transient,A,0,1,0
2922,Non Portugal,Groups,0,2,No Deposit,0,Transient-Party,A,0,0,0
2926,Non Portugal,Online TA,0,2,No Deposit,0,Transient,D,0,2,1
2928,Non Portugal,Groups,0,0,No Deposit,0,Transient-Party,E,0,2,0
2930,Portugal,Complementary,0,0,No Deposit,0,Transient,A,0,1,1
2933,Portugal,Direct,0,1,No Deposit,0,Transient,E,1,1,0
2936,Non Portugal,Groups,0,0,Non Refund,0,Transient,A,0,0,1
2937,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,0,0
2938,Portugal,Direct,0,0,No Deposit,0,Transient,A,1,2,0
2941,Portugal,Offline TA/TO,0,1,No Deposit,0,Contract,D,0,0,1
2943,Portugal,Direct,0,0,No Deposit,0,Transient-Party,A,0,2,0
2947,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,0,1
2957,Portugal,Corporate,1,0,No Deposit,0,Transient,A,1,2,0
2961,Non Portugal,Online TA,0,0,No Deposit,0,Contract,D,0,3,0
2965,Portugal,Groups,0,0,Non Refund,98,Transient,A,0,0,1
2975,Portugal,Online TA,1,1,No Deposit,0,Transient,A,0,0,1
2981,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,0,1,0
2987,Non Portugal,Online TA,0,1,No Deposit,0,Transient,E,0,2,0
2989,Portugal,Online TA,0,0,No Deposit,0,Transient,E,0,2,1
2991,Non Portugal,Online TA,0,0,No Deposit,0,Contract,A,0,0,0
3001,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,3,0
3010,Non Portugal,Online TA,0,0,No Deposit,0,Transient,G,0,0,1
3014,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
3016,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,D,1,0,0
3017,Non Portugal,Direct,0,3,No Deposit,0,Transient,A,0,0,0
3018,Portugal,Online TA,0,2,No Deposit,0,Transient,A,0,1,0
3021,Non Portugal,Offline TA/TO,0,0,Non Refund,0,Transient,A,0,0,1
3026,Non Portugal,Online TA,0,2,No Deposit,0,Transient,D,0,1,1
3027,Portugal,Online TA,0,1,No Deposit,0,Transient-Party,D,1,2,0
3035,Non Portugal,Groups,0,1,No Deposit,0,Transient-Party,A,0,0,0
3039,Non Portugal,Groups,0,1,No Deposit,0,Transient-Party,A,0,1,0
3040,Portugal,Offline TA/TO,0,0,Non Refund,101,Transient,A,0,0,1
3041,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Contract,A,0,0,0
3042,Non Portugal,Online TA,0,0,No Deposit,0,Contract,A,1,2,0
3045,Portugal,Corporate,6,0,No Deposit,0,Transient,A,0,2,0
3047,Non Portugal,Online TA,0,0,No Deposit,0,Transient,G,0,1,0
3054,Portugal,Offline TA/TO,0,0,No Deposit,0,Contract,D,0,0,1
3057,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,2,0
3058,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,0,1,1
3059,Non Portugal,Online TA,0,0,No Deposit,0,Transient,H,0,0,1
3067,Non Portugal,Online TA,0,1,No Deposit,0,Transient-Party,B,0,0,1
3068,Non Portugal,Direct,0,0,No Deposit,0,Transient,D,0,0,0
3072,Portugal,Direct,0,5,No Deposit,0,Transient,F,0,2,0
3073,Non Portugal,Online TA,0,0,No Deposit,0,Transient,G,0,0,1
3074,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
3075,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
3087,Portugal,Direct,0,2,No Deposit,0,Transient,G,0,2,0
3093,Portugal,Online TA,1,0,No Deposit,0,Contract,B,0,0,1
3096,Portugal,Offline TA/TO,0,1,No Deposit,0,Transient,A,0,1,1
3098,Non Portugal,Direct,0,0,No Deposit,0,Transient,D,1,0,0
3100,Non Portugal,Direct,0,0,No Deposit,0,Transient,D,0,1,0
3103,Non Portugal,Direct,0,0,No Deposit,0,Transient,A,1,1,0
3107,Non Portugal,Corporate,0,0,No Deposit,0,Transient-Party,A,0,0,0
3110,Non Portugal,Direct,0,0,No Deposit,0,Transient,A,0,2,0
3116,Non Portugal,Online TA,0,0,No Deposit,0,Transient,G,0,1,0
3117,Non Portugal,Direct,0,0,No Deposit,0,Transient,A,0,0,0
3119,Portugal,Online TA,1,0,No Deposit,0,Transient,A,0,2,1
3129,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,E,0,2,0
3135,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
3140,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,A,0,2,0
3141,Non Portugal,Corporate,0,0,No Deposit,15,Transient-Party,A,0,0,0
3145,Portugal,Online TA,0,1,No Deposit,0,Transient,C,0,1,0
3147,Non Portugal,Online TA,0,1,No Deposit,0,Transient,F,1,1,0
3148,Non Portugal,Direct,0,0,No Deposit,0,Transient,A,0,0,0
3154,Portugal,Groups,0,4,No Deposit,0,Transient-Party,A,0,0,0
3157,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
3159,Non Portugal,Online TA,0,4,No Deposit,0,Transient,A,0,2,0
3161,Non Portugal,Groups,0,1,No Deposit,38,Transient-Party,A,0,0,0
3165,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,1,0
3172,Non Portugal,Online TA,0,0,No Deposit,0,Group,A,0,1,0
3174,Non Portugal,Groups,0,0,No Deposit,0,Transient-Party,A,0,0,0
3175,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,D,0,0,1
3182,Non Portugal,Online TA,0,0,No Deposit,0,Transient,E,0,0,1
3187,Portugal,Corporate,0,4,No Deposit,0,Transient,A,0,0,0
3192,Portugal,Offline TA/TO,0,0,Non Refund,16,Transient,A,0,0,1
3194,Non Portugal,Online TA,0,0,No Deposit,0,Transient,G,0,2,0
3200,Portugal,Direct,0,0,No Deposit,0,Transient-Party,A,1,1,0
3202,Non Portugal,Online TA,0,0,No Deposit,0,Transient-Party,A,0,1,0
3203,Non Portugal,Online TA,0,1,No Deposit,0,Transient-Party,A,0,1,0
3204,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
3212,Non Portugal,Online TA,0,1,No Deposit,0,Transient,B,0,3,1
3214,Portugal,Groups,0,0,Non Refund,47,Transient,A,0,0,1
3215,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
3217,Non Portugal,Corporate,0,1,No Deposit,15,Transient-Party,A,0,0,0
3218,Portugal,Complementary,0,0,No Deposit,0,Transient,G,1,3,0
3221,Non Portugal,Direct,0,0,No Deposit,0,Transient,E,1,3,0
3222,Non Portugal,Online TA,0,0,No Deposit,0,Transient,D,0,1,1
3223,Portugal,Online TA,0,1,No Deposit,0,Transient,G,1,1,0
3229,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
3230,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
3232,Non Portugal,Direct,0,0,No Deposit,0,Transient-Party,B,1,0,0
3234,Non Portugal,Direct,0,0,No Deposit,0,Transient,B,0,0,0
3238,Non Portugal,Direct,0,0,No Deposit,0,Transient,E,0,2,1
3240,Non Portugal,Direct,0,5,No Deposit,0,Transient,D,0,3,0
3243,Portugal,Online TA,0,0,No Deposit,0,Contract,F,0,0,0
3248,Portugal,Direct,0,1,No Deposit,0,Transient,F,0,2,1
3268,Non Portugal,Direct,0,1,No Deposit,0,Transient,A,0,1,0
3273,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,D,0,0,0
3275,Non Portugal,Direct,0,1,No Deposit,0,Transient,A,0,0,0
3277,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,2,1
3279,Non Portugal,Groups,24,0,No Deposit,0,Transient-Party,A,0,0,1
3280,Non Portugal,Online TA,0,0,No Deposit,0,Transient,C,0,2,1
3284,Portugal,Online TA,0,0,No Deposit,0,Group,A,0,1,1
3285,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,1
3286,Non Portugal,Online TA,0,1,No Deposit,0,Transient,A,0,2,0
3287,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,0,1
3298,Non Portugal,Online TA,0,0,No Deposit,0,Transient,A,0,1,0
3299,Non Portugal,Offline TA/TO,0,0,No Deposit,0,Transient,A,0,0,0
3301,Non Portugal,Direct,0,0,No Deposit,0,Transient,F,0,0,0
